Electricity demand Colombia 2013 [MW],Electricity demand Colombia 2015 [MW],Electricity demand Colombia 2014 [MW],Electricity demand Colombia 2016 [MW],Electricity demand Colombia 2012 [MW],Daily natural water inflows time series 2010 [GW],Daily natural water inflows time series 2009 [GW],Daily natural water inflows time series 2014 [GW],Daily natural water inflows time series 2012 [GW],Daily natural water inflows time series 2016 [GW],Daily natural water inflows time series 2007 [GW],Table 1, Installed capacity in Colombia 2006-2016,Daily natural water inflows time series 2011 [GW],Daily natural water inflows time series 2006 [GW],Daily natural water inflows time series 2015 [GW],Hourly average hydropower generation ENSO-NINO [MW],Hourly hydropower generation 2014 [MW],Daily natural water inflows time series 2013 [GW],Daily natural water inflows time series 2008 [GW],Hourly average hydropower generation ENSO-NINA [MW],3, Wind_generation_Colombia2014 - Installed cap, 19,5 MW,6, Wind_generation_ENSO-NINO,5, Solar_generation_ENSO- NINA,2, Estimated Wind generation - Installed cap, 658 MW,1, Estimated Solar PV generation - Installed cap, 520 MW,4, Solar_generation_ENSO-NINO,7, Wind_generation_ENSO-NINA,ExportsTotal 2012 MW,ExportsTotal 2016 MW,ImportsTotal 2015 MW,ExportsTotal 2014 MW,ImportsTotal 2013 MW,ExportsTotal 2013 MW,ImportsTotal 2012 MW,ImportsTotal 2016 MW,ExportsTotal 2015 MW,ImportsTotal 2014 MW
5059.0,5552.18,5332.71121,5821.29,5038.0,34.3,99.68,76.71,136.53,49.2,64.95,,,100.58,74.29,65.63,1660.303,3381.84191,58.5,114.98,3830.207845,10.50861,,,,454.93,,196.44,,425.3,,,307.77,,,336.69,,246.63,,0.0,1.97,0.0,120.34,0.0,1.38,0.62,0.0,2.21,0.0
4981.0,5481.66,5243.69165,5759.65,4971.0,35.34,111.39,79.86,106.55,48.12,91.49,,,121.98,70.51,64.31,1607.822,3301.57508,62.94,99.22,3783.492485,10.56389,,,,445.15,,270.15,,488.86,,,263.65,,,305.22,,351.08,,0.0,0.42,0.0,97.44,0.5,0.03,1.06,0.0,0.69,0.0
4928.0,5427.39,5184.23916,5681.34,4940.0,36.49,154.88,78.35,108.01,45.33,110.93,,,96.96,66.1,74.63,1656.596,3217.10535,67.56,88.67,3738.355685,10.58765,,,,460.43,,250.09,,505.34,,,225.93,,,250.3,,333.45,,2.76,0.09,0.0,92.14,0.0,0.17,0.0,0.23,0.54,0.0
5066.0,5515.89,5440.55015,5839.29,5241.0,36.93,106.89,66.29,167.22,41.22,79.67,,,89.7,68.67,75.8,1859.057,3259.70118,62.18,86.5,3906.17489,10.2415,,,,417.68,,154.68,,521.93,,,146.7,,,143.67,,238.91,,4.07,1.39,0.0,162.94,0.0,0.75,0.0,0.0,0.5,0.0
6265.0,6593.39,6572.83966,6874.05,7178.0,40.3,146.7,69.03,141.09,42.11,86.6,,,85.65,67.29,85.96,2953.726,4228.90376,55.94,74.77,5084.78056,8.89361,,,,330.72,,70.13,,537.78,,,69.65,,,69.66,,186.62,,44.89,3.96,0.0,182.27,0.0,2.3,0.0,0.0,2.6,0.0
6681.0,6956.26,6946.84461,7207.95,7232.0,40.39,179.01,88.88,130.8,42.34,78.54,,,80.44,57.59,78.83,3338.789,4575.99987,54.35,70.63,5517.996105,8.56875,,,,282.33,,0.0,,550.83,,,0.0,,,0.0,,193.08,,97.72,4.01,0.0,181.74,0.0,0.63,0.0,0.0,1.86,0.0
6498.0,6829.38,6724.92293,7098.69,6963.0,35.78,119.85,70.88,141.83,43.19,83.95,,,76.06,58.34,102.87,3186.221,4347.70063,56.56,85.67,5288.794535,8.71586,,,,246.56,,0.0,,560.09,,,0.0,,,0.0,,228.09,,37.55,0.57,0.0,114.67,0.45,0.09,0.0,0.0,1.66,0.0
6160.0,6560.07,6495.85139,6759.25,6169.0,34.11,123.88,85.51,157.06,47.09,70.96,,,69.36,53.94,123.19,2781.66,4114.80031,59.66,71.88,4890.64911,9.60387,,,,214.07,,0.0,,565.06,,,0.0,,,0.0,,295.47,,11.23,0.67,0.0,238.56,0.0,0.74,0.0,0.0,1.81,0.0
5626.0,6145.47,5990.88978,6475.68,5599.0,35.0,122.8,75.05,139.46,48.41,71.19,,,69.88,57.46,132.9,2366.998,3723.55686,61.39,74.9,4305.04242,8.77573,,,,210.59,,0.0,,517.03,,,0.0,,,0.0,,207.28,,7.99,0.12,0.0,251.84,0.0,0.14,0.0,0.45,1.54,0.0
5156.0,5738.18,5571.16885,6068.0,5028.0,39.01,112.03,65.17,136.53,47.47,57.9,,,72.91,58.99,100.1,1853.867,3460.87129,59.53,71.26,3984.681355,7.93212,,,,237.79,,0.0,,459.84,,,0.0,,,0.0,,181.5,,7.69,0.12,0.64,248.83,1.32,0.12,0.0,0.1,0.09,0.0
4833.0,5373.84,5195.08284,5767.97,4857.0,38.35,107.93,71.86,126.65,46.31,84.39,,,67.87,58.85,82.17,1629.107,3246.6839,53.83,84.43,3673.68204,6.83238,,,,221.63,,0.0,,396.15,,,0.0,,,0.0,,182.03,,6.7,0.12,0.77,196.61,0.0,0.56,0.0,0.69,0.12,0.0
4656.0,5195.33,4971.03853,5579.27,4664.0,44.4,94.2,71.08,119.89,45.04,84.65,,,88.65,53.25,62.61,1432.272,3133.67778,63.56,81.83,3500.911015,7.04906,,,,214.68,,0.0,,410.12,,,0.0,,,0.0,,159.91,,7.82,0.12,0.0,166.47,0.0,0.3,0.0,0.35,1.15,0.0
4547.0,5062.36,4860.08072,5424.86,4540.0,37.23,79.74,63.3,112.59,44.93,82.8,,,101.45,82.68,75.51,1320.609,3017.84374,52.97,82.99,3398.42533,5.09943,,,,188.56,,0.0,,424.18,,,0.0,,,0.0,,128.62,,8.22,0.84,0.0,150.58,0.2,0.09,0.0,0.0,1.06,0.0
4515.0,5015.11,4777.63136,5339.75,4531.0,40.53,74.4,72.61,103.31,43.69,61.8,,,94.41,75.38,76.07,1266.69,2934.01361,49.97,71.54,3340.12133,5.33061,,,,223.55,,0.0,,437.42,,,0.0,,,0.0,,110.04,,7.25,0.12,0.48,130.2,0.48,0.09,0.0,0.09,0.12,0.0
4592.0,5078.42,4906.05431,5334.57,4678.0,37.49,86.86,79.45,119.17,47.3,53.38,,,84.8,137.83,71.3,1295.112,3057.76272,52.89,70.57,3405.19327,3.53489,,,,227.57,,0.0,,421.07,,,0.0,,,0.0,,106.74,,7.5,0.73,0.0,130.76,0.0,1.27,0.0,0.0,1.27,0.0
4816.0,5185.08,5096.03145,5405.58,5025.0,42.68,104.63,73.85,128.27,42.96,52.49,,,75.46,81.69,79.36,1410.613,3130.4936,49.39,66.89,3575.53963,5.15837,,,,217.27,,0.0,,401.04,,,0.0,,,0.0,,112.38,,8.74,1.43,0.0,133.87,0.49,0.09,0.0,0.0,0.4,0.0
4969.0,5237.76,5279.68352,5330.41,5240.0,31.86,79.47,71.38,130.43,39.77,52.92,,,94.43,89.45,101.7,1416.721,3269.44831,59.3,65.89,3631.94599,5.29855,,,,222.51,,0.0,,377.2,,,0.0,,,0.0,,166.76,,7.41,0.12,0.7,191.81,9.5,0.06,0.0,0.45,0.09,0.0
5496.0,5729.83,5880.59992,5630.98,5659.0,32.26,82.28,69.56,101.13,43.2,50.95,,,73.94,92.57,144.79,1608.741,3788.06773,54.69,67.1,3995.2881,6.25801,,,,209.75,,0.0,,329.58,,,0.0,,,0.0,,160.52,,10.61,1.9,0.0,236.89,0.58,0.06,0.0,0.0,1.66,0.0
